*Beijing Dialect*
wav_id｜dialect｜dialect_text｜mandarin_text｜notes
Wav0001｜Beijing Dialect｜今儿个｜今天｜儿化音"今儿"表时间
Wav0002｜Beijing Dialect｜我就给在座的各位讲一个老北京胡同儿里的故事｜我要给在座的各位讲一个老北京胡同的故事｜"在座"为敬语，"胡同儿"儿化音省略
Wav0003｜Beijing Dialect｜这个故事呢充满了地道的北京韵味｜这个故事充满了地道的北京韵味｜"呢"为话题标记
Wav0004｜Beijing Dialect｜和邻里温情｜和邻里的温情｜省略"的"字结构
Wav0005｜Beijing Dialect｜这个故事叫做百花深处｜这个故事名叫百花深处｜专有名词不翻译
Wav0006｜Beijing Dialect｜佟老爷子背着手｜佟老爷子双手背在身后｜交互态标记
Wav0007｜Beijing Dialect｜遛弯儿回来的时候｜散步回来的时候｜"遛弯儿"=北京话"散步"
Wav0008｜Beijing Dialect｜正赶上早市收摊儿｜正好赶上早市结束营业｜"收摊儿"=结束营业
Wav0009｜Beijing Dialect｜他穿一件洗得发白的蓝布褂子｜他穿着一件洗得发白的蓝布褂子｜"褂子"=中式上衣
Wav0010｜Beijing Dialect｜脚上是那双穿了五年的千层底布鞋｜脚上穿着那双穿了五年的千层底布鞋｜"千层底"=传统手工布鞋
Wav0011｜Beijing Dialect｜鞋帮子都磨出了毛边儿｜鞋帮已经磨出了毛边｜"鞋帮子"=鞋的侧面
Wav0012｜Beijing Dialect｜"哟，佟爷，今儿个起得够早的啊！｜"哟，佟爷，今天起得真早啊！｜"今儿个"=今天，"够...的"=强调
Wav0013｜Beijing Dialect｜卖豆汁儿的王胖子正收拾摊子，油光满面的脸上堆着笑｜卖豆汁的王胖子正在收拾摊子，油光满面的脸上堆着笑｜"豆汁儿"保留儿化音，"王胖子"为绰号
Wav0014｜Beijing Dialect｜嗐，人老了觉少，五更天就醒。佟老爷子摆摆手｜唉，人老了睡眠少，天没亮就醒。佟老爷子摆摆手｜"嗐"=叹息声，"五更天"=凌晨3-5点
Wav0015｜Beijing Dialect｜给我留一碗豆汁儿，俩焦圈儿，我回去拿碗来盛｜给我留一碗豆汁，两个焦圈，我回去拿碗来装｜"俩"=口语化数量词，"焦圈儿"=北京传统小吃
Wav0016｜Beijing Dialect｜得嘞！给您留着最稠的那锅底儿！｜好的！给您留着最稠的锅底！｜"得嘞"=北京话应答语，"锅底儿"=最浓稠的部分
Wav0017｜Beijing Dialect｜佟老爷子继续往胡同深处走｜"佟老爷子继续向胡同深处走去｜方位词"深处"作名词处理
Wav0018｜Beijing Dialect｜百花深处这胡同名儿听着雅致｜百花深处这个胡同名字听起来很雅致｜专有名词不翻译，"名儿"=儿化音
Wav0019｜Beijing Dialect｜实际上就是条两米来宽的窄道，两边是参差不齐的灰砖平房｜实际上就是一条两米左右宽的窄路，两边是高低不齐的灰砖平房｜"来"=约数词
Wav0020｜Beijing Dialect｜电线杆子上挂着几件晾晒的衣裳，在晨风里轻轻晃荡｜电线杆上挂着几件晾晒的衣服，在晨风中轻轻摇晃｜"衣裳"=口语化用词
Wav0021｜Beijing Dialect｜佟叔，您家房顶那瓦我瞅着有点松了，赶明儿我上去给您拾掇拾掇｜佟叔，您家房顶的瓦片我看着有点松了，明天我上去帮您修修｜"瞅"=看，"拾掇"=修理，"赶明儿"=明天
Wav0022｜Beijing Dialect｜修自行车的李三儿蹲在门口刷牙｜修自行车的李三蹲在门口刷牙｜"李三儿"=儿化音昵称
Wav0023｜Beijing Dialect｜满嘴白沫子｜满嘴白色泡沫｜"沫子"=口语词
Wav0024｜Beijing Dialect｜"劳您惦记，不急，等天儿好的。"佟老爷子笑眯眯地应着，脚步没停"｜"谢谢您关心，不急，等天气好的。"佟老爷子笑着回应，脚步没停｜"劳"=礼貌用语，"天儿"=天气
Wav0025｜Beijing Dialect｜胡同里飘着炸油条的香味儿｜胡同里飘着炸油条的香味｜"香味儿"=儿化音
Wav0026｜Beijing Dialect｜这是老北京胡同特有的气息｜这是老北京胡同特有的气息｜"老北京"=传统北京文化
Wav0027｜Beijing Dialect｜佟老爷子深吸一口气，觉得浑身舒坦。他在这胡同住了六十年，闭着眼都能摸回家｜佟老爷子深吸一口气，感到全身舒畅。他在这胡同住了六十年，闭着眼睛都能找到家｜"摸回家"=北京话熟语
Wav0028｜Beijing Dialect｜转过弯儿，佟老爷子突然停住了脚。他那院门儿口停着辆搬家公司的卡车，几个小伙子正往下搬家具｜转过拐角，佟老爷子突然停下脚步。他的院门口停着一辆搬家公司的卡车，几个年轻人正在搬家具｜"弯儿"=儿化音，"院门儿口"=门口区域
Wav0029｜Beijing Dialect｜"这是..."佟老爷子眯起老花眼｜"这是..."佟老爷子眯起老花眼｜省略号保留原文语气
Wav0030｜Beijing Dialect｜"老爷子，您回来啦！"房东老陈从院里钻出来｜"老爷子，您回来了！"房东老陈从院里跑出来｜"钻"=快速移动
Wav0031｜Beijing Dialect｜一脸讨好地笑，"跟您说个事儿，西厢房我租出去了，今儿个新租户搬来。｜满脸堆笑地说："跟您说件事，西厢房我租出去了，今天新租户搬来。"｜"今儿个"=今天，"事儿"=儿化音
